     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
    10.000  -228.284  1438.978   7357718341.569     8.338     4.529  3426.783      99   60458
    10.000  -237.824  1443.479   7678853253.749     8.362     4.538  3435.846      99   63160
    10.000  -247.364  1447.980   8000837246.096     8.390     4.551  3444.958      99   65861
    10.000  -256.904  1452.482   8323681903.035     8.415     4.562  3454.256      99   68562
    10.000  -266.443  1456.983   8647368996.953     8.438     4.569  3463.697      99   71264
    10.000  -275.983  1461.484   8971977759.897     8.463     4.581  3473.230      99   73965
    10.000  -285.523  1465.985   9297508027.887     8.487     4.592  3483.375      99   76666
    10.000  -290.293  1468.236   9460627661.108     8.495     4.595  3488.380      99   77867
    10.000  -295.063  1470.487   9623996194.087     8.510     4.601  3493.830      99   79368
    10.000  -299.833  1472.737   9787611898.875     8.520     4.606  3499.117      99   80568
    10.000  -304.602  1474.987   9951461737.520     8.532     4.610  3505.132      99   82069
    10.000  -314.142  1479.489  10280228500.463     8.525     4.630  3520.750      99   84770
    10.000  -323.682  1483.990  10610210590.032     8.550     4.636  3530.824      99   87472
    10.000  -333.222  1488.492  10941157505.176     8.582     4.648  3541.440      99   90473
    10.000  -342.761  1492.992  11273052328.209     8.605     4.655  3552.018      99   93174
    10.000  -352.301  1497.494  11605976135.413     8.633     4.663  3562.619      99   95875
    10.000  -361.841  1501.995  11939785110.434     8.657     4.672  3570.793      99   98577
    10.000  -371.381  1506.496  12274367386.329     8.686     4.685  3579.119      99  101578
    10.000  -380.920  1510.997  12609675780.693     8.707     4.694  3587.268      99  104279
    10.000  -390.460  1515.499  12945786460.792     8.731     4.705  3595.428      99  106981
    10.000  -400.000  1520.000  13282678365.474     8.759     4.719  3603.858      99  109982
    15.000     0.229    13.136     12868267.500     0.000     0.000  2750.000      00  109982
    15.000    -0.725    38.952     38604802.500     0.000     0.000  2750.000      00  109982
    15.000    -1.202    51.629     51473070.000     0.000     0.000  2750.000      00  109982
    15.000    -1.771    66.549     66823267.500     0.000     0.000  2750.000      00  109982
    15.000    -2.156    76.522     77209605.000     0.000     0.000  2750.000      00  109982
    15.000    -2.633    88.736     90077872.500     0.000     0.000  2750.000      00  109982
    15.000    -3.110   100.795    102946140.000     0.000     0.000  2750.000      00  109982
    15.000    -3.587   112.698    115814407.500     0.000     0.000  2750.000      00  109982
    15.000    -4.541   136.038    141550942.500     0.000     0.000  2750.000      00  109982
    15.000    -5.018   147.474    154419210.000     0.000     0.000  2750.000      00  109982
    15.000    -5.495   158.754    167287477.500     0.000     0.000  2750.000      00  109982
    15.000    -5.972   169.878    180155745.000     0.000     0.000  2750.000      00  109982
    15.000    -6.926   191.658    205892280.000     0.000     0.000  2750.000      00  109982
    15.000    -7.881   212.835    231655792.500     0.000     0.000  2750.000      00  109982
    15.000    -8.835   233.365    257392327.500     0.000     0.000  2750.000      00  109982
    15.000    -9.789   253.269    283128862.500     0.000     0.000  2750.000      00  109982
    15.000   -10.910   275.865    313370640.000     0.000     0.000  2750.000      00  109982
    15.000   -11.697   293.569    335373979.500     0.000     0.000  2850.000      00  109982
    15.000   -12.651   314.835    362046388.500     0.000     0.000  2850.000      00  109982
    15.000   -13.605   335.884    388718797.500     0.000     0.000  2850.000      00  109982
    15.000   -15.513   377.335    442063615.500     0.000     0.000  2850.000      00  109982
    15.000   -17.421   417.923    495408433.500     0.000     0.000  2850.000      00  109982
    15.000   -19.329   457.649    548753251.500     0.000     0.000  2850.000      00  109982
    15.000   -21.000   491.736    595471905.000     0.000     0.000  2850.000      00  109982
    15.000   -23.146   537.026    657576072.000     0.000     0.000  2950.000      00  109982
    15.000   -25.054   576.916    712792638.000     0.000     0.000  2950.000      00  109982
    15.000   -26.962   616.450    768009204.000     0.000     0.000  2950.000      00  109982
    15.000   -28.870   655.628    823225770.000     0.000     0.000  2950.000      00  109982
    15.000   -30.778   694.453    878442336.000     0.000     0.000  2950.000      00  109982
    15.000   -31.990   718.931    913517010.000     0.000     0.000  2950.000      00  109982
    15.000   -34.594   743.792    997829721.055     7.946     4.536  3300.041      96    8545
    15.000   -37.456   770.752   1090471275.622     7.941     4.528  3298.964      96    9150
    15.000   -40.319   797.553   1183129739.857     7.939     4.522  3298.577      96   10055
    15.000   -43.181   824.135   1275752031.765     7.949     4.518  3298.990      96   10961
    15.000   -46.043   850.320   1368485567.027     7.957     4.517  3306.801      96   11566
    15.000   -48.905   876.138   1461343411.781     7.965     4.515  3307.359      96   12471
    15.000   -51.767   901.674   1554206076.546     7.957     4.506  3307.459      96   13075
    15.000   -54.630   926.934   1647104896.702     7.963     4.502  3307.645      96   13980
    15.000   -57.492   951.924   1739971376.030     7.955     4.493  3307.434      96   14585
    15.000   -60.354   976.700   1832835758.391     7.958     4.488  3307.447      96   15490
    15.000   -63.216  1001.252   1925720232.346     7.958     4.482  3308.778      96   16095
    15.000   -66.078  1025.641   2018639180.762     7.967     4.480  3309.460      96   16999
    15.000   -70.849  1065.983   2173546146.053     7.958     4.464  3309.570      96   18207
    15.000   -75.619  1105.876   2328449082.728     7.957     4.454  3310.397      96   19715
    15.000   -80.389  1145.300   2483349176.326     7.950     4.441  3310.115      96   20922
    15.000   -85.160  1184.074   2638309852.128     7.945     4.426  3311.349      96   22130
    15.000   -89.930  1221.736   2793280234.624     7.942     4.414  3311.753      96   23337
    15.000   -94.700  1257.438   2948297263.706     7.940     4.402  3313.151      96   24844
    15.000   -99.471  1289.907   3103392882.953     7.934     4.388  3314.294      96   26050
    15.000  -104.808  1320.000   3276969698.218     7.933     4.377  3316.182      96   27556
    15.000  -109.011  1328.406   3413690688.506     7.987     4.403  3317.651      99   27426
    15.000  -113.781  1337.946   3569049797.186     8.000     4.405  3322.171      99   28929
    15.000  -118.552  1347.488   3724632535.162     8.008     4.405  3326.135      99   30132
    15.000  -123.322  1357.028   3880370859.475     8.022     4.408  3330.061      99   31335
    15.000  -128.092  1366.568   4036303876.502     8.041     4.415  3334.316      99   32837
    15.000  -132.863  1376.110   4192449257.509     8.046     4.412  3338.037      99   34040
    15.000  -137.633  1385.650   4348739427.107     8.056     4.415  3341.777      99   35243
    15.000  -142.403  1395.190   4505219384.128     8.073     4.420  3345.988      99   36746
    15.000  -147.174  1401.113   4661920625.426     8.085     4.425  3350.103      99   37947
    15.000  -151.944  1403.356   4818794494.170     8.099     4.430  3354.621      99   39148
    15.000  -156.714  1405.599   4975892487.282     8.120     4.438  3359.530      99   40649
    15.000  -161.485  1407.842   5133235687.605     8.134     4.446  3363.959      99   41849
